beach,season,transect,plastic,expanded_polystyrene,rubber,glass,fragments,fabric,processed_wood,unidentified,personal_care,aluminium,aerosol,rings_caps,total_items
Ilha do Pontal,Autumn,1,37,2,2,0,6,0,1,2,0,1,0,0,51
Ilha do Pontal,Autumn,2,14,0,0,0,0,0,0,1,0,0,0,0,15
Ilha do Pontal,Autumn,3,2,0,0,0,0,0,0,0,0,0,0,0,2
Ilha do Pontal,Spring,1,23,4,0,0,0,0,1,3,0,0,0,0,31
Ilha do Pontal,Spring,2,6,2,0,0,0,0,0,0,0,0,0,0,8
Ilha do Pontal,Spring,3,5,2,0,0,0,0,0,2,0,0,0,0,9
Ilha do Pontal,Summer,1,3,0,0,0,0,0,0,0,0,0,0,0,3
Ilha do Pontal,Summer,2,2,0,0,0,0,0,3,0,0,0,0,0,5
Ilha do Pontal,Summer,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilha do Pontal,Winter,1,38,17,1,0,4,0,3,4,0,1,0,0,68
Ilha do Pontal,Winter,2,17,1,1,0,1,1,3,0,0,0,0,1,25
Ilha do Pontal,Winter,3,13,9,0,0,1,0,0,4,0,0,0,0,27
Praia Brava,Autumn,1,43,13,1,0,0,0,0,3,0,2,0,0,62
Praia Brava,Autumn,2,8,0,0,0,0,0,1,1,0,0,0,0,10
Praia Brava,Autumn,3,12,2,0,0,0,0,0,3,0,0,0,0,17
Praia Brava,Spring,1,55,120,1,9,4,4,2,8,3,0,1,3,210
Praia Brava,Spring,2,32,31,0,1,3,0,0,0,0,0,0,0,67
Praia Brava,Spring,3,46,31,2,3,2,1,0,2,0,0,0,0,87
Praia Brava,Summer,1,54,32,1,0,0,0,0,3,3,1,0,0,94
Praia Brava,Summer,2,13,8,0,0,0,4,5,1,0,0,0,0,31
Praia Brava,Summer,3,22,11,0,0,0,0,0,3,0,0,0,0,36
Praia Brava,Winter,1,152,216,11,0,18,9,11,8,6,6,3,3,443
Praia Brava,Winter,2,333,813,14,0,93,16,43,5,8,1,1,6,1333
Praia Brava,Winter,3,129,118,7,2,13,3,7,2,4,0,2,0,287
