beach,season,transect,total_items,PC1,PC2,cluster
Ilha do Pontal,Autumn,1,51,-0.15477840247329297,0.03767000134306782,3
Ilha do Pontal,Autumn,2,15,-0.42932508735035146,0.22248566092771033,3
Ilha do Pontal,Autumn,3,2,-0.4530156958575934,0.15364350179883826,3
Ilha do Pontal,Spring,1,31,-0.10334440423665403,0.12103464480626396,1
Ilha do Pontal,Spring,2,8,0.03431382230268211,0.13690320345270438,1
Ilha do Pontal,Spring,3,9,0.06925351476186237,0.2175381250839008,1
Ilha do Pontal,Summer,1,3,-0.4530156958575934,0.15364350179883823,3
Ilha do Pontal,Summer,2,5,-0.4717349716050771,-0.5428292116550446,3
Ilha do Pontal,Summer,3,0,-0.1585795022253415,-0.5390361884317931,2
Ilha do Pontal,Winter,1,68,0.1101182607071077,-0.0011021640996163198,1
Ilha do Pontal,Winter,2,25,-0.1934940532879149,-0.2079365008535115,3
Ilha do Pontal,Winter,3,27,0.21209965647024132,0.15031723896195154,1
Praia Brava,Autumn,1,62,0.036018970439442535,0.18583925257871625,1
Praia Brava,Autumn,2,10,-0.4569659908726591,0.013198056097605312,3
Praia Brava,Autumn,3,17,-0.0764098202805573,0.2453271160548309,1
Praia Brava,Spring,1,210,0.44964985989385353,-0.10912082083826488,1
Praia Brava,Spring,2,67,0.3003662897308728,0.023213327030481075,1
Praia Brava,Spring,3,87,0.24284034051863698,0.0700676771445116,1
Praia Brava,Summer,1,94,0.18091263483855194,0.1323591545123879,1
Praia Brava,Summer,2,31,0.08717099486017812,-0.23701668035212356,1
Praia Brava,Summer,3,36,0.12172659531055105,0.18977297056422596,1
Praia Brava,Winter,1,443,0.3667599394405783,-0.12443327594857938,1
Praia Brava,Winter,2,1333,0.45213590431982104,-0.2067176119618774,1
Praia Brava,Winter,3,287,0.28729684045265363,-0.08482097801522429,1
